topic,level_1,qids,qstr,num_words,questions,result,filtered_result,correct_result,overlap,error_type
Fluid,13,G-META-18-45,NUM,75,"Assume Stokes law; i.e., drag force $𝐹_𝑑$ = 3𝜋𝜇𝐷𝑣, where 𝜇 is the viscosity of steel. Given: Density of liquid steel = 7900 kg $m^(-3)$ ; Viscosity of liquid steel = 0.0079 Pa s; Density of the inclusion = 2500 kg $m(-3)$ ; Acceleration due to gravity = 9.8 m $s^(-2)$. The terminal velocity(in mm$s^(-1)$ to two decimal places) (𝑣) of a spherical inclusion of diameter D = 50 micrometers rising in liquid steel is?"," [ ]
To find the terminal velocity, we can use Stokes' law and equate it to the net force acting on the sphere due to gravity. The net force is given by Archimedes' principle as the difference between the weight of the sphere and the buoyant force.
First, let's calculate the buoyant force:
Buoyant force = Density of liquid steel * Volume of displaced fluid
Volume of displaced fluid = (4/3) * 𝜋 * (D/2)^3
Substituting given values:
Buoyant force = 7900 kg $m^(-3)$ * (4/3) * 𝜋 * (50 µm / 2)^3
= 1.68 * 10^-11 N
Now, let's calculate the weight of the sphere:
Weight = Density of inclusion * Volume of sphere * Acceleration due to gravity
Volume of sphere = (4/3) * 𝜋 * (D/2)^3
Substituting given values:
Weight = 2500 kg $m^(-3)$ * (4/3) * 𝜋 * (50 µm / 2)^3 * 9.8 m $s^(-2)$
= 1.62 * 10^-10 N
Now, we can find the terminal velocity by equating the net force to zero:
Net force = Weight - Buoyant force
Terminal velocity = | Net force / Density of liquid steel |
Substituting given values and calculated results:
Net force = (1.62 * 10^-10 N - 1.68 * 10^-11 N)
= 5.2 * 10^-11 N
Terminal velocity = | 5.2 * 10^-11 N / 7900 kg $m^(-3)$ |
= 6.4 * 10^-5 m/s
To convert to mm$s^(-1)$, we multiply by 10^3:
Terminal velocity = 6.4 * 10^-5 m/s * 10^3 mm $m^(-1)$
= 6.4 mm/s
Therefore, the answer is [6.4].",,,0,
Material testing,0,G-META-14-14,MCQS,31,Which one of the following NDT techniques CANNOT be used to detect an internal crack in a steel shaft?  (A) Liquid penetrant inspection (B) Radiography (C) Ultrasonic testing (D) X-ray tomography," A. Liquid penetrant inspection cannot be used to detect internal cracks as it is a surface breaking technique and relies on the presence of a penetrating liquid or dye that flows out of the crack to be visible. The other techniques, radiography and ultrasonic testing, can detect internal cracks by different means: radiography uses ionizing radiation to produce an image of the interior of the part, while ultrasonic testing uses sound waves to inspect the interior. X-ray tomography is a type of radiography that uses multiple X-ray images taken from different angles to create a three-dimensional image, which can also be used to detect internal cracks.",,,0,
Material testing,1,G-META-15-50,MCQS,45,Which of the following techniques are NOT applicable for detecting internal flaws in a ceramic material? 1. Liquid penetration test 2. Radiography 3. Ultrasonic testing 4. Eddy current method  (A) 1 and 3 (B) 3 and 4 (C) 2 and 4 (D) 1 and 4," [A, ""1 and 3""]
Explanation: Liquid penetration test is applicable for detecting surface flaws in ceramic materials. Ultrasonic testing can be used to detect internal flaws by sending high-frequency sound waves through the material and measuring the reflections. Radiography uses ionizing radiation to produce an image of the interior of the material, making it useful for detecting internal flaws. Eddy current method is typically used for detecting surface flaws in conductive materials by measuring changes in eddy currents induced by the presence of defects. Therefore, neither liquid penetration test nor ultrasonic testing are applicable for detecting internal flaws in a ceramic material, making the answer [A, ""1 and 3""].",,,0,
Material testing,2,G-META-16-23,MCQS,37,"For dye-penetrant test, identify the CORRECT statement  (A) Pre- and post-cleaning of parts are not required (B) Internal defects can be detected (C) Surface oxides helps in crack identification (D) Dye with low contact angle is required"," [B] Internal defects can be detected.
Explanation: The dye-penetrant test is a non-destructive testing method used to detect surface and near-surface discontinuities, such as cracks or leaks in metals. It works by applying a fluorescent or visible dye to the surface of the material, which then penetrates into any open discontinuities. The part is then washed off to remove excess dye, and any remaining dye that has penetrated into defects will be drawn out by a developer, making them visible. This test can detect both surface and subsurface defects, making statement B the correct answer. Pre-cleaning of parts is required to ensure good contact between the dye and the surface, and post-cleaning is necessary to remove any excess dye that has not penetrated into defects. Surface oxides can interfere with the test results and make it more difficult to identify cracks, so they are typically removed before testing. A dye with a low contact angle is desirable as it spreads easily over the surface of the material, but it is not a requirement for the test itself.",,,0,
Material testing,3,G-META-17-25,MCQS,25,Dye penetrant test is based on the principle of   (A) polarizes sound waves in liquid (B) magnetic domain (C) absorption of X-rays (D) capillary action ," [D] capillary action
Explanation: The dye penetrant test is a non-destructive testing method used to detect surface and slightly subsurface defects in materials. It relies on the principle of capillary action, which allows the penetrating fluid (dye) to flow into the cracks or defects by wicking action. The fluorescent dye is attracted to the surface of the defect due to the capillary forces and forms a visible contrast against the background material. This makes it easier to locate and identify the defects.",,,0,
Material testing,4,G-META-18-19,MCQS,52,A long oil pipeline made of steel is suspected to have developed a scale on the inner surface due to corrosion. Which of the following non-destructive techniques is the most suitable for detecting and quantifying such a defect?  (A) Dye penetrant test (B) Magnetic particle inspection (C) Ultrasonic inspection (D) Acoustic emission, [C] Ultrasonic inspection,,,0,
Material testing,5,G-META-19-21,MCQS,32,The most suitable non-destructive testing method for detecting small internal flaws in a dense bulk material is?  (A) Dye penetrant method (B) Ultrasonic inspection (C) Eddy current testing (D) Magnetic particle inspection, [B] Ultrasonic inspection,,,0,
Material testing,6,G-META-20-9,MCQS,21,The dye penetrant test for detecting flaws is based on:  (A) Magnetism (B) Sound propagation (C) X-ray absorption (D) Capillary action, [D] Capillary action,,,0,
Material testing,7,G-META-21-28,MATCH,65,"Match the nondestructive technique (in Coloumn I) with its underlying phenomenon (in Column II):  Column I: [(P) Dye penetrant test, (Q) Radiography, (R) Eddy current test, (S) Ultrasonic inspection]  Column II: [1. X-ray absorption, 2. Capillary action, 3. Elastic waves reflection, 4. Electromagnetic induction]    Options: (A) P-4, Q-3, R-2, S-1 (B) P-2, Q-1, R-3, S-4 (C) P-2, Q-1, R-4, S-3 (D) P-3, Q-2, R-1, S-4"," (B) P-2, Q-1, R-3, S-4
Explanation: 
- Dye penetrant test (P) relies on the capillary action of a liquid to reveal surface defects.
- Radiography (Q) uses X-ray absorption to inspect internal structures.
- Eddy current test (R) is based on electromagnetic induction, which detects changes in electrical conductivity.
- Ultrasonic inspection (S) utilizes elastic waves reflection to examine the interior of materials.",,,0,
Material testing,8,G-META-22-16,MCQS,37,Which one of the following Non Destructive Testing (NDT) techniques CANNOT be used to identify volume defects in the interior of a casting?  (A) Ultrasonic testing (B) X-ray computed tomography (C) Dye-penetrant testing (D) Gamma ray radiography ," [C] Dye-penetrant testing. This technique is used to detect surface defects, not volume defects in the interior of a casting.",,,0,
Miscellaneous,0,G-XEC-2012-10,MATCH,60,"Match the properties in Column I with the appropriate units in Column II:  Column I: [P. Thermal diffusivity, Q. Fracture toughness, R. Surface energy, S. Magnetic permeability]  Column II: [1. Hm–1, 2. m2s–1, 3. Fm–1, 4. Nm–3/2, 5. Jm–2]    Options: (A) P-2, Q-5, R-4, S-1 (B) P-2, Q-4, R-5, S-1 (C) P-3, Q-5, R-4, S-3 (D) P-5, Q-4, R-2, S-3"," [B] P-5, Q-4, R-3, S-1
Explanation: 
Thermal diffusivity (P) is the property that describes how quickly a material conducts heat. It has units of m^2/s (meters squared per second). So, the correct answer for P is 2.
Fracture toughness (Q) is a measure of a material's resistance to fracturing. It has units of Nm–1/2 (Newtons-meters to the power of -0.5). So, the correct answer for Q is 4.
Surface energy (R) is the energy required to create a new surface area in a material. It has units of Joules per square meter (J/m^2). So, the correct answer for R is 1.
Magnetic permeability (S) is a measure of how easily a material can conduct magnetic fields. It has units of Henrys (H), which are equivalent to Joules per Coulomb squared (J/C^2). So, the correct answer for S is 3.",,,0,
Miscellaneous,1,G-XEC-2013-11,MATCH,74,"Match the terminologies given in Column I with their relations listed in Column II:  Column I: [P. domain wall, Q. Fick’s law, R. Matthiessen’s rule, S. Hall-Petch relation, T. Meissner effect]  Column II: [1. superconductors, 2. mechanical properties, 3. ferromagnetic materials, 4. resistivity of impure metals, 5. diffusion]    Options: (A) P-1, Q-3, R-5, S-2, T-4 (B) P-3, Q-5, R-2, S-4, T-1 (C) P-3, Q- 5, R-4, S-2, T-1 (D) P-3, Q-4, R-3, S-2, T-4"," (B) P-3, Q-5, R-2, S-4, T-1
Explanation: 
P. Domain wall refers to a boundary between two magnetic domains in ferromagnetic materials. So, it is related to Column II item 3 - Ferromagnetic materials.
Q. Fick’s law describes the diffusion of mass through a medium under a concentration gradient. It is related to Column II item 5 - Diffusion.
R. Matthiessen’s rule states that in impure metals, the resistivity is the sum of the resistivities due to impurities and phonons. It is related to Column II item 4 - Resistivity of impure metals.
S. Hall-Petch relation describes the relationship between the yield strength and the size of a metal crystal in ferromagnetic materials. It is related to Column II item 2 - Mechanical properties.
T. Meissner effect refers to the expulsion of magnetic fields from the interior of superconductors below their critical temperature. It is related to Column II item 1 - Superconductors.",,,0,
Miscellaneous,2,G-XEC-2017-16,MCQS,51,Which of the following statement(s) is/are true: (i) All piezoelectric materials are necessarily ferroelectric (ii) All ferroelectric materials are necessarily piezoelectric (iii) All pyroelectric materials are necessarily piezoelectric (iv) All pyroelectric materials are necessarily ferroelectric  (A) (i) and (ii) (B) (ii) and (iii) (C) (i) and (iv) (D) (ii) and (iv)," [B, II and III]
Explanation: Piezoelectric materials are those that generate an electric charge in response to applied mechanical stress. Ferroelectric materials, on the other hand, are those that exhibit a spontaneous polarization below a certain temperature. Pyroelectric materials are those that exhibit a change in polarization with a change in temperature.
Not all piezoelectric materials are ferroelectric, but all ferroelectric materials are piezoelectric because they possess the property of spontaneous polarization which makes them piezoelectric when subjected to an external stress. Similarly, all pyroelectric materials are piezoelectric as they exhibit a change in polarization with an applied mechanical stress. However, not all pyroelectric materials are ferroelectric as some of them may exhibit paraelectric behavior above the Curie temperature.",,,0,
Miscellaneous,3,G-XEC-2019-1,MCQS,30,On decreasing the objective aperture size in an optical microscope  (A) the spherical aberration increases (B) the depth of field increases (C) the diffraction-limited resolution increases (D) the astigmatism increases, [A] The spherical aberration increases.,,,0,
Miscellaneous,4,G-XEC-2020-2,MCQS,46,Smallest of minimum feature size that can be theoretically resolved in an optical microscope does NOT depend on:  (A) Refractive index of the medium between the lens and the focal point (B) Intensityh of radiation (C) Wavelength of radiation (D) Numerical aperture of the objective lens, [B] Intensity of radiation,,,0,
Miscellaneous,5,G-META-14-13,MCQS,30,"In the trapezoidal rule for numerical integration of a function, the nature of approximation used for the function in each interval is  (A) constant (B) linear (C) parabolic (D) cubic", [B] linear,,,0,
Miscellaneous,6,G-META-17-39,NUM,36,"A solution contains $10^(-3)$ M of $Fe^(+3)$ at 25°C. The solubility product of $Fe(OH)_3$ is $10^(-39)$. Assuming activity equals concentration, the minimum pH at which $Fe^(+3)$ will precipitate as $Fe(OH)_3$ is?(answer up to two decimals places)"," ___________
Explanation:
To find the minimum pH at which $Fe^(+3)$ will precipitate as $Fe(OH)_3$, we need to use the solubility product expression and the given concentration of $Fe^(+3)$.
The solubility product expression for $Fe(OH)_3$ is:
$$K_{sp} = [Fe^{3+}] \times [OH^{-}]^3$$
Assuming activity equals concentration, we have:
$$[Fe^{3+}] = 10^{-3} M$$
We need to find the minimum value of $[OH^{-}]$ that will make $K_{sp}$ equal to or less than $(10^{-3})^2$.
Using the given solubility product constant, we have:
$$10^{-39} = (10^{-3})^2 \times [OH^{-}]^3$$
Taking the logarithm base 10 of both sides, we get:
$$-39 = 2 \times \log_{10}[OH^{-}] + 3 \times \log_{10}[OH^{-}]$$
Simplifying, we have:
$$-39 = 5 \times \log_{10}[OH^{-}]$$
Taking the exponent of both sides, we get:
$$[OH^{-}] = 10^{-7.8}$$
Therefore, the minimum pH at which $Fe^(+3)$ will precipitate as $Fe(OH)_3$ is:
$$pH = - \log_{10}[OH^{-}] = 7.8$$
Answer: [7.8]",,,0,
Miscellaneous,7,G-META-20-44,NUM,41,"Given, density of oxide is 6.5 $g.cm^(-3)$. A metal oxidizes at 1200K with a parabolic rate constant of 3* $10^(-6)g^(2).cm^(-4).s^(-1)$. Time taken(in seconds) for the oxide film to grow to a thickness of 2 µm is?(round off to two decimal places). "," ___________
Explanation:
The rate equation for parabolic diffusion is given by:
dM/dt = k * (A - M)^(1/2)
Where,
dM/dt = rate of change of mass of the oxide film with time,
k = rate constant,
A = initial area of the metal exposed to the reactant gas, and
M = mass of the oxide film formed at any given time.
We are given that the density of the oxide is 6.5 g/cm^3, and we need to find the thickness of the oxide film that grows to a mass of 2 µm. First, let's convert the thickness to mass using the given density:
Mass of oxide film = Density * Volume
Volume = Thickness^3
Thickness = (Mass / Density)^(1/3)
Substituting the given value of density and finding the thickness:
Thickness = (2*$10^-6 g / 6.5 g/cm^3)^(1/3)
Thickness = $4.78 * 10^-4 cm
Now, we can find the initial area A using the given thickness and assuming that the metal piece is a cube:
A = (Side length)^2 = (Thickness / Density)^(2/3) * (Side length)^2
Substituting the values:
A = ($4.78 * 10^-4 cm / 6.5 g/cm^3)^(2/3) * (Side length)^2
Assuming Side length = 1 cm, we get A = $1.29 * 10^-3 cm^2
Now, we can use the rate equation to find the time taken for the oxide film to grow to this thickness:
dM/dt = k * (A - M)^(1/2)
Rearranging to find dt:
dt = (dM / [k * (A - M)^(1/2)])^2
Substituting the given values and solving for dt:
dt = ($[2*$10^-6 g - $4.78*10^-6 g] / [3*10^-12 g^2.cm^(-4).s^(-1) * (($1.29*10^-3 cm^2 - $4.78*10^-6 g/cm^3)^(1/2)]^2$)
dt = 5.61 * 10^5 s
Rounding off to two decimal places, the answer is:
Answer: [5.61 * 10^5]
Note: The given density of oxide was in units of g/cm^3, but the thickness and side length were given in cm. To ensure consistency, we converted the thickness to mass using the given density before calculating the initial area A.",,,0,
